Sales ID,Company Name,Model Name,Sub-Model Name,Engine CC,Bike Category,Top Sales State,Performance Rating,Ex-Showroom Price,On-Road Price,Profit,Manufacturing Year,KMPL,Weight,Cylinder Variant,Available Colors in Numbers,What are the Colors,Bike Versions,Clutch Type,Fuel System,Sales Date,Sales Month,Sales Quarter,Performance Category,Cost Price,Unit_Sales,Total_Sales
BAJ2014656144,Bajaj,Pulsar NS160,Pulsar NS160 Standard,160.3,Motorcycle,Bihar,6.7,67689,85255,31798,2014,74,222,4,5,"Green, Blue, Black, Red, White",Drum,Dry,Carburetor,2015-01-01,January,1,Excellent,53457,826,137287198
BAJ2013191041,Bajaj,Chetak (Electric),Chetak (Electric) Standard,Electric,Scooter,West Bengal,6.5,182498,197530,19406,2013,40,246,2,4,"White, Blue, Black, Green",Disc,Wet,Carburetor,2015-01-01,January,1,Good,178124,826,137287198
BAJ2020313227,Bajaj,Chetak (Electric),Chetak (Electric) Standard,Electric,Scooter,Manipur,5.3,93375,112529,36280,2020,40,180,4,2,"Black, Blue",Drum,Multi-plate,Carburetor,2015-01-01,January,1,Good,76249,826,137287198
BAJ2022947668,Bajaj,Dominar 250,Dominar 250 Standard,248.77,Motorcycle,Jharkhand,7.6,177563,188623,38945,2022,52,250,4,2,"Blue, Green",Standard,Multi-plate,Fuel Injection,2015-01-01,January,1,Excellent,149678,826,137287198
BAJ2013996794,Bajaj,Chetak (Electric),Chetak (Electric) ABS,Electric,Scooter,West Bengal,7.5,70635,80957,36719,2013,35,106,4,3,"White, Red, Blue",Disc,Automatic,Carburetor,2015-01-01,January,1,Average,44238,826,137287198
BAJ2019349223,Bajaj,Chetak (Electric),Chetak (Electric) ABS,Electric,Scooter,Karnataka,5.9,146827,158867,42998,2019,33,153,2,5,"Black, Green, Red, Blue, White",Standard,Multi-plate,Carburetor,2015-01-03,January,1,Average,115869,826,137287198
BAJ2018583911,Bajaj,Pulsar NS160,Pulsar NS160 Standard,160.3,Motorcycle,Madhya Pradesh,8.3,217285,228489,13423,2018,54,179,1,2,"Blue, Green",Disc,Multi-plate,Carburetor,2015-01-03,January,1,Excellent,215066,826,137287198
BAJ2019195160,Bajaj,Chetak (Electric),Chetak (Electric) 4V,Electric,Scooter,Assam,10.0,89269,100914,21787,2019,71,159,2,3,"Black, Red, Green",ABS,Multi-plate,Carburetor,2015-01-04,January,1,Excellent,79127,826,137287198
BAJ2015116140,Bajaj,Pulsar 150,Pulsar 150 Pro,149.5,Motorcycle,Manipur,5.7,78046,84504,47207,2015,66,195,1,3,"Blue, White, Green",Disc,Automatic,Carburetor,2015-01-04,January,1,Excellent,37297,826,137287198
BAJ2016526696,Bajaj,Chetak (Electric),Chetak (Electric) Pro,Electric,Scooter,Madhya Pradesh,7.1,200035,210279,30976,2016,56,149,1,2,"Black, Blue",Drum,Multi-plate,Fuel Injection,2015-01-04,January,1,Excellent,179303,826,137287198
