Company Name,Model Name,Sub-Model Name,Engine CC,Bike Category,Top Sales State,Performance Rating,Ex-Showroom Price,On-Road Price,Profit,Manufacturing Year,KMPL,Weight,Cylinder Variant,Available Colors in Numbers,What are the Colors,Bike Versions,Clutch Type,Fuel System
Hero,Destini 125,Destini 125 4V,124.6,Scooter,Haryana,8.1,237444,256125,30382,2021,35,235,1,2,"Red, Black",Drum,Wet,Carburetor
Hero,Passion Pro,Passion Pro ABS,113.0,Motorcycle,Maharashtra,6.3,95336,111148,36620,2017,59,123,1,3,"Green, Blue, Black",Disc,Dry,Fuel Injection
Hero,Passion Pro,Passion Pro Standard,113.0,Motorcycle,Jharkhand,5.6,219698,230669,38379,2018,69,206,1,2,"Blue, White",ABS,Automatic,Carburetor
Hero,Maestro Edge 110,Maestro Edge 110 Standard,110.9,Scooter,Odisha,5.2,245598,250868,28618,2015,53,174,4,2,"Blue, Red",ABS,Multi-plate,Fuel Injection
Hero,Passion Pro,Passion Pro 4V,113.0,Motorcycle,Manipur,9.9,59190,75732,35062,2015,50,204,1,3,"Blue, Black, White",Standard,Dry,Fuel Injection
Hero,Maestro Edge 110,Maestro Edge 110 ABS,110.9,Scooter,Rajasthan,6.1,186456,199522,12406,2024,71,162,2,3,"Black, Red, Blue",ABS,Dry,Carburetor
Hero,Maestro Edge 110,Maestro Edge 110 ABS,110.9,Scooter,Goa,8.6,107409,122022,25365,2019,41,247,1,4,"Blue, Green, White, Black",Drum,Multi-plate,Fuel Injection
Hero,Pleasure+,Pleasure+ Pro,110.9,Scooter,Manipur,7.6,107662,117550,20474,2016,74,196,4,2,"Green, Blue",Disc,Wet,Carburetor
Hero,Destini 125,Destini 125 4V,124.6,Scooter,Punjab,8.3,62654,79049,23094,2018,74,216,4,3,"Blue, Red, Green",Standard,Multi-plate,Fuel Injection
Hero,Xpulse 200,Xpulse 200 4V,199.6,Motorcycle,Sikkim,6.1,193295,210971,11210,2016,63,219,2,4,"Red, Black, Blue, Green",Drum,Automatic,Fuel Injection
Hero,Karizma ZMR,Karizma ZMR 4V,223.0,Motorcycle,Himachal Pradesh,7.9,195519,208542,30357,2022,80,248,2,2,"White, Green",Standard,Multi-plate,Fuel Injection
