Sales ID,Company Name,Model Name,Sub-Model Name,Engine CC,Bike Category,Top Sales State,Performance Rating,Ex-Showroom Price,On-Road Price,Profit,Manufacturing Year,KMPL,Weight,Cylinder Variant,Available Colors in Numbers,What are the Colors,Bike Versions,Clutch Type,Fuel System,Sales Date,Sales Month,Sales Quarter,Performance Category,Cost Price,Unit_Sales,Total_Sales
HON2014451695,Honda,Activa 6G,Activa 6G Standard,109.51,Scooter,Kerala,6.0,144024,163551,39393,2014,35,189,4,2,"White, Blue",ABS,Automatic,Carburetor,2016-04-30,April,2,Average,124158,850,137370391
HON2021934443,Honda,H'ness CB350,H'ness CB350 Standard,348.36,Motorcycle,Kerala,6.7,119316,136410,23157,2021,34,202,4,3,"Blue, Green, Black",Disc,Wet,Fuel Injection,2017-01-05,January,1,Average,113253,872,143040802
HON2023420121,Honda,H'ness CB350,H'ness CB350 Pro,348.36,Motorcycle,Assam,9.5,185534,193628,35109,2023,42,120,1,5,"Green, Blue, Black, Red, White",Drum,Dry,Carburetor,2024-01-18,January,1,Good,158519,872,143040802
HON2017511676,Honda,Activa 6G,Activa 6G Standard,109.51,Scooter,Uttarakhand,7.8,181628,200032,11290,2017,37,164,1,3,"Red, Black, Green",Standard,Dry,Carburetor,2022-04-23,April,2,Average,188742,850,137370391
HON2019898835,Honda,Hornet 2.0,Hornet 2.0 Standard,184.4,Motorcycle,Jharkhand,5.6,77479,83271,34784,2019,39,157,2,5,"Blue, Red, Green, White, Black",ABS,Multi-plate,Carburetor,2015-07-13,July,3,Average,48487,849,138227089
HON2014867508,Honda,Unicorn,Unicorn 4V,162.7,Motorcycle,Tamil Nadu,9.9,228419,243600,17525,2014,49,191,4,4,"Green, Black, Red, Blue",Drum,Multi-plate,Fuel Injection,2020-10-13,October,4,Good,226075,837,137933367
HON2017536199,Honda,Hornet 2.0,Hornet 2.0 4V,184.4,Motorcycle,Chhattisgarh,6.8,54480,68557,12527,2017,44,196,2,3,"Red, Green, Blue",Drum,Automatic,Carburetor,2020-05-14,May,2,Good,56030,827,136363547
HON2019512901,Honda,Dio,Dio Pro,109.51,Scooter,Tripura,6.7,245128,250192,18090,2019,62,230,1,3,"Blue, Black, Red",Drum,Multi-plate,Carburetor,2021-03-17,March,1,Excellent,232102,873,140734998
HON2022817188,Honda,Activa 6G,Activa 6G ABS,109.51,Scooter,Tamil Nadu,6.6,90130,108777,19032,2022,50,129,2,2,"White, Blue",Standard,Dry,Fuel Injection,2018-02-10,February,1,Good,89745,764,122605995
HON2022884112,Honda,Activa 6G,Activa 6G Pro,109.51,Scooter,Uttarakhand,6.1,80439,93393,19452,2022,51,242,4,5,"White, Red, Blue, Black, Green",Drum,Automatic,Carburetor,2020-01-26,January,1,Excellent,73941,872,143040802
HON2023297690,Honda,Dio,Dio Standard,109.51,Scooter,Tripura,8.6,98954,118657,14355,2023,61,222,1,2,"Green, Blue",Disc,Multi-plate,Fuel Injection,2020-12-06,December,4,Excellent,104302,836,135477953
HON2016156650,Honda,SP 125,SP 125 Standard,124.0,Motorcycle,Karnataka,8.6,192733,209708,30110,2016,57,164,1,2,"Blue, White",Drum,Multi-plate,Fuel Injection,2021-08-30,August,3,Excellent,179598,865,138461051
HON2016549977,Honda,Grazia,Grazia ABS,124.0,Scooter,Gujarat,9.7,121877,136182,33516,2016,42,201,1,2,"Blue, Green",Standard,Wet,Fuel Injection,2015-05-07,May,2,Good,102666,827,136363547
HON2023419701,Honda,Dio,Dio ABS,109.51,Scooter,Meghalaya,8.9,118950,135724,25010,2023,73,121,2,2,"Black, Green",ABS,Multi-plate,Fuel Injection,2024-09-10,September,3,Excellent,110714,784,126836438
HON2023237684,Honda,SP 125,SP 125 Standard,124.0,Motorcycle,Maharashtra,8.3,146472,160765,45425,2023,73,138,2,4,"Black, Red, Green, Blue",ABS,Wet,Fuel Injection,2021-02-17,February,1,Excellent,115340,764,122605995
HON2016718414,Honda,CB200X,CB200X Standard,184.4,Motorcycle,Telangana,8.5,209245,214433,20291,2016,80,175,2,5,"Green, Blue, Black, White, Red",Drum,Dry,Carburetor,2024-08-23,August,3,Excellent,194142,865,138461051
HON2016126504,Honda,H'ness CB350,H'ness CB350 ABS,348.36,Motorcycle,Uttarakhand,8.6,227345,238387,11128,2016,31,176,2,3,"Black, White, Red",Disc,Multi-plate,Fuel Injection,2020-12-11,December,4,Average,227259,836,135477953
HON2021174630,Honda,Dio,Dio Pro,109.51,Scooter,Andhra Pradesh,7.0,179639,192311,45500,2021,73,158,1,4,"Green, Black, White, Blue",Standard,Multi-plate,Fuel Injection,2024-10-15,October,4,Excellent,146811,837,137933367
