Sales ID,Company Name,Model Name,Sub-Model Name,Engine CC,Bike Category,Top Sales State,Performance Rating,Ex-Showroom Price,On-Road Price,Profit,Manufacturing Year,KMPL,Weight,Cylinder Variant,Available Colors in Numbers,What are the Colors,Bike Versions,Clutch Type,Fuel System,Sales Date,Sales Month,Sales Quarter,Performance Category,Cost Price,Unit_Sales,Total_Sales
TVS2015639455,TVS,Jupiter,Jupiter ABS,109.7,Scooter,Jharkhand,7.0,172184,180611,48095,2015,77,118,4,5,"Green, Black, White, Blue, Red",ABS,Dry,Carburetor,2015-01-02,January,1,Excellent,132516,840,135804211
TVS2019243631,TVS,Apache RTR 200 4V,Apache RTR 200 4V Standard,197.75,Motorcycle,Tamil Nadu,7.6,171740,183921,15838,2019,70,221,1,5,"Blue, Black, White, Green, Red",Drum,Automatic,Carburetor,2015-01-02,January,1,Excellent,168083,840,135804211
TVS2019580677,TVS,Jupiter,Jupiter Pro,109.7,Scooter,Meghalaya,6.2,200935,210052,18920,2019,51,215,4,3,"Red, White, Blue",Disc,Automatic,Fuel Injection,2015-01-02,January,1,Excellent,191132,840,135804211
TVS2021855975,TVS,Ronin,Ronin Standard,225.9,Motorcycle,Jharkhand,6.1,136793,149223,38847,2021,30,182,4,2,"Blue, Black",Drum,Wet,Fuel Injection,2015-01-03,January,1,Average,110376,840,135804211
TVS2022675438,TVS,Scooty Zest 110,Scooty Zest 110 Pro,109.7,Scooter,Haryana,9.6,127389,137504,15514,2022,43,169,2,3,"Blue, Green, Red",ABS,Dry,Fuel Injection,2015-01-03,January,1,Good,121990,840,135804211
TVS2022263750,TVS,Scooty Zest 110,Scooty Zest 110 4V,109.7,Scooter,Sikkim,6.2,217784,232870,46697,2022,47,157,4,4,"Black, Green, Blue, White",Disc,Dry,Fuel Injection,2015-01-05,January,1,Good,186173,840,135804211
TVS2013917147,TVS,Jupiter,Jupiter ABS,109.7,Scooter,Telangana,8.9,57643,66890,17669,2013,45,115,1,3,"Red, Blue, White",Drum,Wet,Fuel Injection,2015-01-05,January,1,Good,49221,840,135804211
TVS2016344863,TVS,Ntorq 125,Ntorq 125 Standard,124.8,Scooter,Mizoram,8.2,184243,201300,26960,2016,58,122,1,3,"Red, Green, Black",Standard,Automatic,Carburetor,2015-01-05,January,1,Excellent,174340,840,135804211
TVS2018867766,TVS,Radeon,Radeon ABS,109.7,Motorcycle,Bihar,5.8,87561,93972,28130,2018,78,170,2,4,"Green, Blue, White, Red",Standard,Multi-plate,Fuel Injection,2015-01-06,January,1,Excellent,65842,840,135804211
TVS2019481225,TVS,Ronin,Ronin Pro,225.9,Motorcycle,Nagaland,8.2,66264,85954,10146,2019,32,93,1,4,"White, Black, Blue, Red",Disc,Automatic,Carburetor,2015-01-06,January,1,Average,75808,840,135804211
TVS2016328618,TVS,Radeon,Radeon Pro,109.7,Motorcycle,Gujarat,8.6,106499,120974,36369,2016,65,201,2,2,"White, Black",Disc,Automatic,Carburetor,2015-01-07,January,1,Excellent,84605,840,135804211
TVS2023782303,TVS,Apache RTR 160,Apache RTR 160 4V,159.7,Motorcycle,Haryana,6.4,189476,194491,13276,2023,47,182,1,4,"White, Black, Green, Red",Drum,Multi-plate,Carburetor,2015-01-07,January,1,Good,181215,840,135804211
TVS2018209360,TVS,Ntorq 125,Ntorq 125 ABS,124.8,Scooter,Kerala,7.3,232452,247043,31193,2018,76,134,2,2,"Green, White",Disc,Wet,Carburetor,2015-01-07,January,1,Excellent,215850,840,135804211
TVS2014757195,TVS,Apache RTR 180,Apache RTR 180 Standard,177.4,Motorcycle,Haryana,7.1,229555,239821,40372,2014,64,193,4,4,"Green, Red, Black, Blue",Standard,Multi-plate,Carburetor,2015-01-07,January,1,Excellent,199449,840,135804211
TVS2014150312,TVS,Ronin,Ronin 4V,225.9,Motorcycle,Gujarat,5.1,227000,235235,20252,2014,51,143,1,2,"Green, White",Disc,Dry,Carburetor,2015-01-07,January,1,Excellent,214983,840,135804211
