Sales ID,Company Name,Model Name,Sub-Model Name,Engine CC,Bike Category,Top Sales State,Performance Rating,Ex-Showroom Price,On-Road Price,Profit,Manufacturing Year,KMPL,Weight,Cylinder Variant,Available Colors in Numbers,What are the Colors,Bike Versions,Clutch Type,Fuel System,Sales Date,Sales Month,Sales Quarter,Performance Category,Cost Price,Unit_Sales,Total_Sales
YAM2014783102,Yamaha,Aerox 155,Aerox 155 Pro,155,Scooter,Uttarakhand,8.8,163711,170361,18791,2014,61,147,1,4,"White, Red, Black, Green",Standard,Dry,Carburetor,2015-01-01,January,1,Excellent,151570,866,142089509
YAM2020490382,Yamaha,Fascino 125,Fascino 125 Standard,125,Scooter,Karnataka,9.1,71148,84012,10149,2020,44,225,2,3,"White, Black, Blue",ABS,Dry,Fuel Injection,2015-01-01,January,1,Good,73863,866,142089509
YAM2019921675,Yamaha,FZ FI,FZ FI 4V,149,Motorcycle,Andhra Pradesh,8.8,79798,86238,33000,2019,44,225,4,5,"Red, Black, Green, White, Blue",Disc,Multi-plate,Fuel Injection,2015-01-01,January,1,Good,53238,866,142089509
YAM2015536702,Yamaha,FZS FI,FZS FI Pro,149,Motorcycle,Chhattisgarh,9.5,103012,122881,18868,2015,74,149,2,5,"Blue, Black, White, Red, Green",ABS,Automatic,Carburetor,2015-01-01,January,1,Excellent,104013,866,142089509
YAM2022161108,Yamaha,Ray ZR 125,Ray ZR 125 Standard,125,Scooter,Maharashtra,9.7,244225,257515,14745,2022,44,204,2,3,"Black, White, Green",ABS,Wet,Fuel Injection,2015-01-01,January,1,Good,242770,866,142089509
YAM2021714278,Yamaha,FZ-X,FZ-X Pro,149,Motorcycle,Jharkhand,5.5,73804,80148,28863,2021,36,98,4,4,"Green, White, Red, Blue",Standard,Automatic,Carburetor,2015-01-03,January,1,Average,51285,866,142089509
YAM2017620046,Yamaha,MT-15,MT-15 ABS,155,Motorcycle,Sikkim,9.8,232256,249539,28285,2017,51,234,1,3,"Blue, White, Red",Disc,Multi-plate,Carburetor,2015-01-03,January,1,Excellent,221254,866,142089509
YAM2020700895,Yamaha,Ray ZR 125,Ray ZR 125 Pro,125,Scooter,Madhya Pradesh,8.5,220828,238458,27155,2020,66,145,4,2,"Green, Black",Disc,Automatic,Fuel Injection,2015-01-03,January,1,Excellent,211303,866,142089509
YAM2019446137,Yamaha,Fascino 125,Fascino 125 ABS,125,Scooter,Madhya Pradesh,9.5,113399,119554,42711,2019,54,187,4,2,"Green, Red",Disc,Multi-plate,Fuel Injection,2015-01-04,January,1,Excellent,76843,866,142089509
YAM2017670711,Yamaha,FZ FI,FZ FI ABS,149,Motorcycle,Maharashtra,6.9,224778,239495,49562,2017,70,223,1,5,"White, Red, Black, Blue, Green",ABS,Wet,Fuel Injection,2015-01-05,January,1,Excellent,189933,866,142089509
YAM2022447822,Yamaha,Fascino 125,Fascino 125 Pro,125,Scooter,Rajasthan,8.1,124463,142720,25762,2022,43,145,2,4,"Green, White, Blue, Red",Drum,Automatic,Carburetor,2015-01-05,January,1,Good,116958,866,142089509
YAM2020749847,Yamaha,Fascino 125,Fascino 125 Standard,125,Scooter,Haryana,8.0,135072,147567,20846,2020,38,141,1,2,"Green, Red",ABS,Dry,Carburetor,2015-01-06,January,1,Average,126721,866,142089509
